SEGEMENT,SUB_SEGMENT,PARTICULARS,ROW_TYPE,FISCAL_YEAR,PERIOD,METRIC,VALUE,SN
ADMINISTRATIVE EXPENSES,,ISO 27001:200 Certification,LINE,2082/83,ASHWIN_2082,VARIANCE,0.0,
ADMINISTRATIVE EXPENSES,,Audit Fee - Statutory,LINE,2082/83,ASHWIN_2082,VARIANCE,0.0,
ADMINISTRATIVE EXPENSES,,Tax Audit Fee,LINE,2082/83,ASHWIN_2082,VARIANCE,0.0,
ADMINISTRATIVE EXPENSES,,Insurance Expenses,LINE,2082/83,ASHWIN_2082,VARIANCE,11778.190517286363,
ADMINISTRATIVE EXPENSES,,Electricity Expenses,LINE,2082/83,ASHWIN_2082,VARIANCE,-6129.3191666666535,
ADMINISTRATIVE EXPENSES,,Security Guard Expenses,LINE,2082/83,ASHWIN_2082,VARIANCE,-5408.5,
ADMINISTRATIVE EXPENSES,,Outsourcing Cost (Kitchen Staff),LINE,2082/83,ASHWIN_2082,VARIANCE,-3183.05000000001,
ADMINISTRATIVE EXPENSES,,Printing and Stationery,LINE,2082/83,ASHWIN_2082,VARIANCE,28131.228916666667,
ADMINISTRATIVE EXPENSES,,Fuel and Lubricants,LINE,2082/83,ASHWIN_2082,VARIANCE,-17699.416814166652,
ADMINISTRATIVE EXPENSES,,Subtotal,LINE,2082/83,ASHWIN_2082,VARIANCE,89155.8001197864,
ADMINISTRATIVE EXPENSES,,Repair and Maintenance,LINE,2082/83,ASHWIN_2082,VARIANCE,35530.34983333334,
ADMINISTRATIVE EXPENSES,,Office Rent,LINE,2082/83,ASHWIN_2082,VARIANCE,0.0,
ADMINISTRATIVE EXPENSES,,Other Expenses,LINE,2082/83,ASHWIN_2082,VARIANCE,65909.41574781852,
ADMINISTRATIVE EXPENSES,,Subtotal (G),LINE,2082/83,ASHWIN_2082,VARIANCE,190595.56570093828,
Human Resource Cost,,"Staff Expenses (Salary, Allowances, Provident Fund and Gratuity)",LINE,2082/83,ASHWIN_2082,VARIANCE,182309.044999999,G.
Human Resource Cost,,Training Related Expenses,LINE,2082/83,ASHWIN_2082,VARIANCE,-144448.4688,
Human Resource Cost,,Staff Refreshment,LINE,2082/83,ASHWIN_2082,VARIANCE,-53168.30865868223,
Human Resource Cost,,Subtotal (H),LINE,2082/83,ASHWIN_2082,VARIANCE,-15307.73245868324,
Financial Overhead,,Bank Charges,LINE,2082/83,ASHWIN_2082,VARIANCE,-27652.866859976515,H.
Financial Overhead,,Subtotal (I),LINE,2082/83,ASHWIN_2082,VARIANCE,-27652.866859976515,
Business Promotion,,User activation and engagement campaign - Card (Pegged with UPI Incentive),LINE,2082/83,ASHWIN_2082,VARIANCE,219200.0,I.
Business Promotion,,Digital Literacy/Financial Literacy,LINE,2082/83,ASHWIN_2082,VARIANCE,30000.0,
Business Promotion,,Others,LINE,2082/83,ASHWIN_2082,VARIANCE,100381.65599657729,
Business Promotion,,Subtotal (J),LINE,2082/83,ASHWIN_2082,VARIANCE,349581.6559965773,
CARD SEGMENT,I. SCT UPI CARD,Card Purchase Cost (UPI Debit Card),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,1380600.0,
CARD SEGMENT,I. SCT UPI CARD,"Service Fee to UPI (Dispute Management, Connectivity and Royalty)",LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,1131489.0844326299,
CARD SEGMENT,I. SCT UPI CARD,Card Personalization Cost to Lead,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,211200.0,
CARD SEGMENT,I. SCT UPI CARD,SMS Cost,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,110174.4,
CARD SEGMENT,I. SCT UPI CARD,Annual Maintenance Cost - Card Printing Machine,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,150000.0,
CARD SEGMENT,I. SCT UPI CARD,Subtotal (A),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,2983463.48443263,
SMARTQR SEGMENT,,DC - Cloud Cost,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,194055.0,B
SMARTQR SEGMENT,,SMS Cost,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,345600.0,
SMARTQR SEGMENT,,Annual Maintenance Cost (Smart QR Switch),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,900000.0,
SMARTQR SEGMENT,,Subtotal (B),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,1439655.0,
SMARTBANKING SEGMENT,,Sharing of Commission on SmartBanking,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,7961705.32325027,C
SMARTBANKING SEGMENT,,Subtotal (C),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,7961705.32325027,
SMARTPAY SEGMENT,,Sharing of Commission on IBFT Project,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,0.0,D
SMARTPAY SEGMENT,,DC - Cloud Cost,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,153300.0,
SMARTPAY SEGMENT,,Subtotal (D),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,153300.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Server,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,330000.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC CISCO Switch,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,159706.85840707968,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,NAC Device,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Oracle DBA,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,128495.57600000003,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Auxculiary Infra Dedicated Cloud Cost,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Two Factor Authentication,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,33394.1605839415,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC S2M Switch,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,2747163.970588235,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Fortigate 400F and 200F,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,623263.2743362832,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Subscription Fee - Rigo HR,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,30000.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Accounting Software,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,5000.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Antivirus Renewal Charges,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,15489.666164389802,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Microsoft License Renewal Fee (Including Defender),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,93587.875,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,VAPT Fee,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Domain Validation Charges,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,9197.493250000001,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,National Payment Switch Access Fee,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,81869.017125,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Others,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,52500.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,SubTotal,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,4309667.8914549295,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,DR Site Cost,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,217500.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,PCI-DSS and PCI-PIN Certification Fee,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,707275.345875,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Windows Server and Windows 11 License,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Communication Expenses,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,309944.37337499997,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Subtotal (F),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,5544387.610704929,
ADMINISTRATIVE EXPENSES,,AGM Expenses,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,0.0,F.
ADMINISTRATIVE EXPENSES,,Meeting Allowance,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,163333.33333333334,
ADMINISTRATIVE EXPENSES,,Audit Fee - Internal,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,0.0,
ADMINISTRATIVE EXPENSES,,ISO 27001:200 Certification,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,0.0,
ADMINISTRATIVE EXPENSES,,Audit Fee - Statutory,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,0.0,
ADMINISTRATIVE EXPENSES,,Tax Audit Fee,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,0.0,
ADMINISTRATIVE EXPENSES,,Insurance Expenses,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,247122.3025,
ADMINISTRATIVE EXPENSES,,Electricity Expenses,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,362935.29250000004,
ADMINISTRATIVE EXPENSES,,Security Guard Expenses,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,211774.5,
ADMINISTRATIVE EXPENSES,,Outsourcing Cost (Kitchen Staff),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,104658.75,
ADMINISTRATIVE EXPENSES,,Printing and Stationery,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,121893.68675,
ADMINISTRATIVE EXPENSES,,Fuel and Lubricants,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,159710.28955750001,
ADMINISTRATIVE EXPENSES,,Subtotal,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,1371428.1546408336,
ADMINISTRATIVE EXPENSES,,Repair and Maintenance,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,135860.9395,
ADMINISTRATIVE EXPENSES,,Office Rent,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,965943.0,
ADMINISTRATIVE EXPENSES,,Other Expenses,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,502140.24850000005,
ADMINISTRATIVE EXPENSES,,Subtotal (G),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,2975372.342640834,
Human Resource Cost,,"Staff Expenses (Salary, Allowances, Provident Fund and Gratuity)",LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,14429940.079999996,G.
Human Resource Cost,,Training Related Expenses,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,432898.2023999999,
Human Resource Cost,,Staff Refreshment,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,248211.32268263548,
Human Resource Cost,,Subtotal (H),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,15111049.605082633,
Financial Overhead,,Bank Charges,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,100626.058575,H.
Financial Overhead,,Subtotal (I),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,100626.058575,
Business Promotion,,User activation and engagement campaign - Card (Pegged with UPI Incentive),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,657600.0,I.
Business Promotion,,Digital Literacy/Financial Literacy,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,60000.0,
Business Promotion,,Others,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,1024059.0372061655,
Business Promotion,,Subtotal (J),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,BUDGET,1741659.0372061655,
CARD SEGMENT,I. SCT UPI CARD,Card Purchase Cost (UPI Debit Card),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,2134345.08,
CARD SEGMENT,I. SCT UPI CARD,"Service Fee to UPI (Dispute Management, Connectivity and Royalty)",LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,1241864.2039661412,
CARD SEGMENT,I. SCT UPI CARD,Card Personalization Cost to Lead,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,82342.0,
CARD SEGMENT,I. SCT UPI CARD,SMS Cost,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,20130.0,
CARD SEGMENT,I. SCT UPI CARD,Annual Maintenance Cost - Card Printing Machine,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,152876.7123287671,
CARD SEGMENT,I. SCT UPI CARD,Subtotal (A),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,3631557.996294908,
SMARTQR SEGMENT,,DC - Cloud Cost,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,196276.54819161215,B
SMARTQR SEGMENT,,SMS Cost,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,99019.14000000001,
SMARTQR SEGMENT,,Annual Maintenance Cost (Smart QR Switch),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,900000.0,
SMARTQR SEGMENT,,Subtotal (B),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,1195295.6881916123,
SMARTBANKING SEGMENT,,Sharing of Commission on SmartBanking,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,7486870.5,C
SMARTBANKING SEGMENT,,Subtotal (C),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,7486870.5,
SMARTPAY SEGMENT,,Sharing of Commission on IBFT Project,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,0.0,D
SMARTPAY SEGMENT,,DC - Cloud Cost,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,153300.0,
SMARTPAY SEGMENT,,Subtotal (D),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,153300.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Server,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,449224.1710408398,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC CISCO Switch,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,140926.17308333336,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,NAC Device,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Oracle DBA,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,116814.15929203542,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Auxculiary Infra Dedicated Cloud Cost,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Two Factor Authentication,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,33848.87030489467,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC S2M Switch,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,2747163.970588235,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Fortigate 400F and 200F,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,602357.7057511789,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Subscription Fee - Rigo HR,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,31800.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Accounting Software,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,5000.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Antivirus Renewal Charges,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,49430.13698630137,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Microsoft License Renewal Fee (Including Defender),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,78857.61484931508,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,VAPT Fee,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Domain Validation Charges,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,8383.096583581735,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,National Payment Switch Access Fee,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,79241.09589041094,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Others,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,225123.89050684933,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,SubTotal,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,4568170.884876976,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,DR Site Cost,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,219864.1304347826,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,PCI-DSS and PCI-PIN Certification Fee,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,486092.4180933852,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Windows Server and Windows 11 License,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Communication Expenses,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,186581.6643478261,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Subtotal (F),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,5460709.09775297,
ADMINISTRATIVE EXPENSES,,AGM Expenses,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,0.0,F.
ADMINISTRATIVE EXPENSES,,Meeting Allowance,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,60000.0,
ADMINISTRATIVE EXPENSES,,Audit Fee - Internal,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,0.0,
ADMINISTRATIVE EXPENSES,,ISO 27001:200 Certification,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,0.0,
ADMINISTRATIVE EXPENSES,,Audit Fee - Statutory,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,0.0,
ADMINISTRATIVE EXPENSES,,Tax Audit Fee,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,0.0,
ADMINISTRATIVE EXPENSES,,Insurance Expenses,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,214232.0816330724,
ADMINISTRATIVE EXPENSES,,Electricity Expenses,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,376227.25,
ADMINISTRATIVE EXPENSES,,Security Guard Expenses,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,228000.0,
ADMINISTRATIVE EXPENSES,,Outsourcing Cost (Kitchen Staff),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,111563.22,
ADMINISTRATIVE EXPENSES,,Printing and Stationery,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,45855.333333333336,
ADMINISTRATIVE EXPENSES,,Fuel and Lubricants,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,141748.43,
ADMINISTRATIVE EXPENSES,,Subtotal,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,1177626.3149664057,
ADMINISTRATIVE EXPENSES,,Repair and Maintenance,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,101566.35,
ADMINISTRATIVE EXPENSES,,Office Rent,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,965943.0,
ADMINISTRATIVE EXPENSES,,Other Expenses,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,253289.9412565445,
ADMINISTRATIVE EXPENSES,,Subtotal (G),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,2498425.6062229504,
Human Resource Cost,,"Staff Expenses (Salary, Allowances, Provident Fund and Gratuity)",LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,15076220.969999999,G.
Human Resource Cost,,Training Related Expenses,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,472536.48,
Human Resource Cost,,Staff Refreshment,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,262306.97,
Human Resource Cost,,Subtotal (H),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,15811064.42,
Financial Overhead,,Bank Charges,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,194878.95943661965,H.
Financial Overhead,,Subtotal (I),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,194878.95943661965,
Business Promotion,,User activation and engagement campaign - Card (Pegged with UPI Incentive),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,0.0,I.
Business Promotion,,Digital Literacy/Financial Literacy,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,0.0,
Business Promotion,,Others,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,483906.19999999995,
Business Promotion,,Subtotal (J),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,ACTUAL,483906.19999999995,
CARD SEGMENT,I. SCT UPI CARD,Card Purchase Cost (UPI Debit Card),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,-753745.0800000001,
CARD SEGMENT,I. SCT UPI CARD,"Service Fee to UPI (Dispute Management, Connectivity and Royalty)",LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,-110375.11953351134,
CARD SEGMENT,I. SCT UPI CARD,Card Personalization Cost to Lead,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,128858.0,
CARD SEGMENT,I. SCT UPI CARD,SMS Cost,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,90044.4,
CARD SEGMENT,I. SCT UPI CARD,Annual Maintenance Cost - Card Printing Machine,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,-2876.712328767113,
CARD SEGMENT,I. SCT UPI CARD,Subtotal (A),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,-648094.5118622785,
SMARTQR SEGMENT,,DC - Cloud Cost,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,-2221.54819161215,B
SMARTQR SEGMENT,,SMS Cost,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,246580.86,
SMARTQR SEGMENT,,Annual Maintenance Cost (Smart QR Switch),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,0.0,
SMARTQR SEGMENT,,Subtotal (B),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,244359.31180838784,
SMARTBANKING SEGMENT,,Sharing of Commission on SmartBanking,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,474834.82325027045,C
SMARTBANKING SEGMENT,,Subtotal (C),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,474834.82325027045,
SMARTPAY SEGMENT,,Sharing of Commission on IBFT Project,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,0.0,D
SMARTPAY SEGMENT,,DC - Cloud Cost,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,0.0,
SMARTPAY SEGMENT,,Subtotal (D),LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Server,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,-119224.1710408398,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC CISCO Switch,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,18780.685323746322,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,NAC Device,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Oracle DBA,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,11681.416707964614,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Auxculiary Infra Dedicated Cloud Cost,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Two Factor Authentication,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,-454.7097209531712,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC S2M Switch,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Fortigate 400F and 200F,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,20905.56858510431,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Subscription Fee - Rigo HR,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,-1800.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,AMC Accounting Software,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,0.0,
INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE COST,,Antivirus Renewal Charges,LINE,2082/83,UPTO_ASHWIN_1ST_QTR_2082,VARIANCE,-33940.470821911564,
